X_Value,Sens1,Sens2,Sens3,Sens4,Sens5,Sens6,Sens7,Sens8,Sens9,Sens10,Sens11,Sens12,Sens13,Sens14,Sens15,Sens16,Release,Comment
0.304000,0.701830,0.678646,0.683154,0.705372,0.700864,0.677680,0.677680,0.682832,0.775167,0.687220,0.669502,0.749073,0.685931,0.656616,0.667569,0.655327,0.000000,
0.308000,0.699254,0.678002,0.681222,0.704406,0.699576,0.676392,0.675748,0.680900,0.764536,0.686254,0.668535,0.741019,0.685931,0.655972,0.665636,0.654683,0.000000,
0.312000,0.702152,0.678968,0.683476,0.706016,0.701508,0.677680,0.678002,0.682832,0.775811,0.687542,0.668858,0.750361,0.686576,0.657260,0.667569,0.655005,0.000000,
0.316000,0.699898,0.677680,0.682188,0.703440,0.698932,0.676392,0.676714,0.681222,0.764536,0.686254,0.668213,0.740697,0.685609,0.655327,0.666603,0.654361,0.000000,
0.320000,0.701508,0.678968,0.683154,0.705372,0.701508,0.677036,0.677680,0.682832,0.777099,0.687220,0.672723,0.750039,0.687864,0.656938,0.668213,0.655972,0.000000,
0.324000,0.700864,0.677680,0.682188,0.702796,0.699898,0.676392,0.676070,0.681544,0.764536,0.685287,0.668213,0.740697,0.685287,0.655327,0.666603,0.652428,0.000000,
0.328000,0.701508,0.679290,0.683798,0.705372,0.701830,0.677680,0.677680,0.682832,0.776455,0.687542,0.669824,0.750039,0.687864,0.656616,0.668213,0.656294,0.000000,
0.332000,0.699898,0.677680,0.682188,0.704084,0.699898,0.676070,0.676070,0.681544,0.763891,0.686254,0.668213,0.740375,0.685931,0.655327,0.666603,0.654361,0.000000,
0.336000,0.701186,0.678968,0.682510,0.704728,0.700864,0.677036,0.677680,0.682832,0.775811,0.687220,0.670468,0.750683,0.687542,0.656938,0.667569,0.655327,0.000000,
0.340000,0.701186,0.678002,0.682510,0.703762,0.699254,0.676392,0.676392,0.681866,0.764858,0.685931,0.668535,0.740052,0.684965,0.655650,0.666603,0.652428,0.000000,
0.344000,0.700864,0.678324,0.682510,0.704406,0.700220,0.677358,0.677358,0.681544,0.775167,0.687220,0.669180,0.749717,0.686576,0.656616,0.667891,0.654683,0.000000,
0.348000,0.700220,0.677036,0.681866,0.703762,0.699898,0.676070,0.677036,0.682188,0.764858,0.685931,0.668858,0.741341,0.685287,0.655327,0.666280,0.654039,0.000000,
0.352000,0.700542,0.678002,0.682510,0.704728,0.700220,0.677358,0.677680,0.682832,0.773878,0.686898,0.669502,0.749073,0.687542,0.656616,0.667569,0.654683,0.000000,
0.356000,0.700220,0.678002,0.682510,0.704406,0.699576,0.676714,0.677358,0.681544,0.766146,0.686254,0.669180,0.741019,0.685931,0.655972,0.666925,0.655005,0.000000,
0.360000,0.699898,0.678002,0.681544,0.703762,0.699254,0.676070,0.676714,0.681222,0.772267,0.686898,0.669180,0.747140,0.686576,0.656294,0.667891,0.655650,0.000000,
0.364000,0.701186,0.678324,0.682510,0.704728,0.700542,0.677358,0.678646,0.682188,0.767113,0.686254,0.668213,0.743274,0.686576,0.655650,0.667569,0.653717,0.000000,
0.368000,0.699898,0.677358,0.682188,0.703440,0.699898,0.676714,0.676714,0.681222,0.770656,0.686898,0.668858,0.746173,0.686576,0.655650,0.667569,0.655327,0.000000,
0.372000,0.701830,0.678324,0.682510,0.704728,0.700220,0.677680,0.677358,0.681866,0.769368,0.686576,0.668858,0.743918,0.686576,0.655972,0.666925,0.654683,0.000000,
0.376000,0.699576,0.678002,0.682510,0.703762,0.698932,0.675748,0.676392,0.681222,0.769046,0.686576,0.668858,0.744885,0.686576,0.655650,0.667247,0.655005,0.000000,
0.380000,0.701508,0.678646,0.683476,0.705050,0.700864,0.677358,0.677358,0.682510,0.770656,0.686576,0.668858,0.745207,0.686898,0.657260,0.667569,0.655005,0.000000,
0.384000,0.699254,0.677680,0.681222,0.703440,0.699576,0.676392,0.676392,0.682832,0.767435,0.686898,0.668213,0.744240,0.685931,0.656616,0.666603,0.654683,0.000000,
